timestamp,step,theta_pi_units,ch1_uW,ch2_uW
2025-06-16 14:02:02,1,0.000000,0.123379,38.451770
2025-06-16 14:02:04,2,0.010050,0.230105,38.353865
2025-06-16 14:02:06,3,0.020101,0.319500,38.251696
2025-06-16 14:02:09,4,0.030151,0.427344,38.133920
2025-06-16 14:02:11,5,0.040201,0.564984,37.986349
2025-06-16 14:02:13,6,0.050251,0.704045,37.838774
2025-06-16 14:02:15,7,0.060302,0.867227,37.635858
2025-06-16 14:02:17,8,0.070352,1.063047,37.442875
2025-06-16 14:02:19,9,0.080402,1.273055,37.218680
2025-06-16 14:02:21,10,0.090452,1.505768,36.954749
2025-06-16 14:02:23,11,0.100503,1.751252,36.696492
2025-06-16 14:02:25,12,0.110553,2.006669,36.412697
2025-06-16 14:02:27,13,0.120603,2.279113,36.143090
2025-06-16 14:02:29,14,0.130653,2.568585,35.806792
2025-06-16 14:02:31,15,0.140704,2.880761,35.490360
2025-06-16 14:02:34,16,0.150754,3.217059,35.132780
2025-06-16 14:02:36,17,0.160804,3.563291,34.751072
2025-06-16 14:02:38,18,0.170854,3.922293,34.366531
2025-06-16 14:02:40,19,0.180905,4.313932,33.964956
2025-06-16 14:02:42,20,0.190955,4.697056,33.560544
2025-06-16 14:02:44,21,0.201005,5.101466,33.143369
2025-06-16 14:02:46,22,0.211055,5.508714,32.713415
2025-06-16 14:02:48,23,0.221106,5.932989,32.262178
2025-06-16 14:02:50,24,0.231156,6.395576,31.796753
2025-06-16 14:02:52,25,0.241206,6.849651,31.329910
2025-06-16 14:02:54,26,0.251256,7.333522,30.817657
2025-06-16 14:02:56,27,0.261307,7.824490,30.332367
2025-06-16 14:02:59,28,0.271357,8.321134,29.781801
2025-06-16 14:03:01,29,0.281407,8.834805,29.242588
2025-06-16 14:03:03,30,0.291457,9.338543,28.744525
2025-06-16 14:03:05,31,0.301508,9.843700,28.232273
2025-06-16 14:03:07,32,0.311558,10.380075,27.674614
2025-06-16 14:03:08,33,0.321608,10.939153,27.097089
