timestamp,step,theta_pi_units,ch1_uW,ch2_uW
2025-06-10 17:04:46,1,0.000000,0.080988,39.152750
2025-06-10 17:04:48,2,0.010050,0.085369,39.084640
2025-06-10 17:04:50,3,0.020101,0.091045,39.025039
2025-06-10 17:04:53,4,0.030151,0.093882,38.951253
2025-06-10 17:04:56,5,0.040201,0.137871,38.888818
2025-06-10 17:04:58,6,0.050251,0.176183,38.813614
2025-06-10 17:05:00,7,0.060302,0.247133,38.749757
2025-06-10 17:05:02,8,0.070352,0.332272,38.683069
2025-06-10 17:05:05,9,0.080402,0.400382,38.580903
2025-06-10 17:05:07,10,0.090452,0.526671,38.465962
2025-06-10 17:05:10,11,0.100503,0.654380,38.339676
2025-06-10 17:05:12,12,0.110553,0.793440,38.179329
2025-06-10 17:05:14,13,0.120603,0.958043,37.974995
2025-06-10 17:05:17,14,0.130653,1.139671,37.745122
2025-06-10 17:05:19,15,0.140704,1.338328,37.485446
2025-06-10 17:05:21,16,0.150754,1.542662,37.282534
2025-06-10 17:05:24,17,0.160804,1.775374,37.069684
2025-06-10 17:05:26,18,0.170854,2.032211,36.794401
2025-06-10 17:05:29,19,0.180905,2.277694,36.527636
2025-06-10 17:05:31,20,0.190955,2.555815,36.212619
2025-06-10 17:05:33,21,0.201005,2.832516,35.870649
2025-06-10 17:05:35,22,0.211055,3.116312,35.514480
2025-06-10 17:05:38,23,0.221106,3.422812,35.146968
2025-06-10 17:05:41,24,0.231156,3.730731,34.741137
2025-06-10 17:05:43,25,0.241206,4.079800,34.335310
2025-06-10 17:05:45,26,0.251256,4.420356,33.906777
2025-06-10 17:05:47,27,0.261307,4.793548,33.459801
2025-06-10 17:05:49,28,0.271357,5.180928,33.069577
2025-06-10 17:05:52,29,0.281407,5.575406,32.660911
2025-06-10 17:05:55,30,0.291457,5.984073,32.185551
2025-06-10 17:05:57,31,0.301508,6.394157,31.713032
2025-06-10 17:05:59,32,0.311558,6.824108,31.230582
2025-06-10 17:06:01,33,0.321608,7.272507,30.721167
2025-06-10 17:06:05,34,0.331658,7.722323,30.213170
2025-06-10 17:06:07,35,0.341709,8.179236,29.710851
2025-06-10 17:06:09,36,0.351759,8.643242,29.191506
2025-06-10 17:06:11,37,0.361809,9.102991,28.643777
