timestamp,step,theta_pi_units,ch1_uW,ch2_uW
2025-06-10 16:23:09,1,0.000000,0.297979,37.615991
2025-06-10 16:23:11,2,0.010050,0.224429,37.969319
2025-06-10 16:23:13,3,0.020101,0.156318,38.213384
2025-06-10 16:23:15,4,0.030151,0.110911,38.453192
2025-06-10 16:23:18,5,0.040201,0.061246,38.402111
2025-06-10 16:23:20,6,0.050251,0.059827,38.285751
2025-06-10 16:23:22,7,0.060302,0.056989,38.156624
2025-06-10 16:23:24,8,0.070352,0.076855,38.031754
2025-06-10 16:23:25,9,0.080402,0.123681,37.931008
2025-06-10 16:23:27,10,0.090452,0.169088,37.820329
2025-06-10 16:23:30,11,0.100503,0.248551,37.723836
2025-06-10 16:23:32,12,0.110553,0.342204,37.642952
2025-06-10 16:23:34,13,0.120603,0.441532,37.625927
2025-06-10 16:23:36,14,0.130653,0.572079,37.545047
2025-06-10 16:23:38,15,0.140704,0.705464,37.374764
2025-06-10 16:23:40,16,0.150754,0.870065,37.207326
2025-06-10 16:23:43,17,0.160804,1.038924,36.987385
2025-06-10 16:23:44,18,0.170854,1.237582,36.852583
2025-06-10 16:23:46,19,0.180905,1.447590,36.788726
2025-06-10 16:23:48,20,0.190955,1.684560,36.680885
2025-06-10 16:23:50,21,0.201005,1.931463,36.456684
2025-06-10 16:23:52,22,0.211055,2.195393,36.189918
2025-06-10 16:23:55,23,0.221106,2.480608,35.795441
2025-06-10 16:23:56,24,0.231156,2.762986,35.395289
2025-06-10 16:23:58,25,0.241206,3.068066,34.985202
2025-06-10 16:24:00,26,0.251256,3.381662,34.647484
2025-06-10 16:24:02,27,0.261307,3.706608,34.267199
2025-06-10 16:24:04,28,0.271357,4.042906,33.878397
2025-06-10 16:24:07,29,0.281407,4.379204,33.482498
2025-06-10 16:24:08,30,0.291457,4.749559,33.069577
2025-06-10 16:24:10,31,0.301508,5.152550,32.547392
2025-06-10 16:24:12,32,0.311558,5.541351,32.032305
2025-06-10 16:24:14,33,0.321608,5.938665,31.561201
2025-06-10 16:24:16,34,0.331658,6.385644,31.192267
2025-06-10 16:24:19,35,0.341709,6.866679,30.897117
2025-06-10 16:24:20,36,0.351759,7.337780,30.474261
2025-06-10 16:24:22,37,0.361809,7.824490,30.129449
2025-06-10 16:24:24,38,0.371859,8.389245,29.746325
2025-06-10 16:24:26,39,0.381910,8.887307,29.241168
2025-06-10 16:24:28,40,0.391960,9.372598,28.622491
2025-06-10 16:24:31,41,0.402010,9.808226,27.850569
2025-06-10 16:24:32,42,0.412060,10.225406,27.118374
2025-06-10 16:24:34,43,0.422111,10.661034,26.464222
2025-06-10 16:24:36,44,0.432161,11.140647,25.862575
2025-06-10 16:24:38,45,0.442211,11.655738,25.299240
2025-06-10 16:24:40,46,0.452261,12.226167,24.701849
2025-06-10 16:24:43,47,0.462312,12.792340,24.198111
2025-06-10 16:24:45,48,0.472362,13.384057,23.675926
2025-06-10 16:24:46,49,0.482412,13.970097,23.167930
2025-06-10 16:24:48,50,0.492462,14.590190,22.576214
2025-06-10 16:24:50,51,0.502513,15.156364,22.015716
2025-06-10 16:24:52,52,0.512563,15.766527,21.450964
2025-06-10 16:24:55,53,0.522613,16.356822,20.847896
2025-06-10 16:24:57,54,0.532663,16.941443,20.175299
2025-06-10 16:24:59,55,0.542714,17.545928,19.553787
2025-06-10 16:25:00,56,0.552764,18.133387,18.962071
2025-06-10 16:25:02,57,0.562814,18.716588,18.340557
2025-06-10 16:25:04,58,0.572864,19.230258,17.680732
2025-06-10 16:25:07,59,0.582915,19.638925,16.996782
2025-06-10 16:25:09,60,0.592965,20.117122,16.338374
2025-06-10 16:25:11,61,0.603015,20.558424,15.672873
2025-06-10 16:25:12,62,0.613065,21.065000,15.059873
2025-06-10 16:25:14,63,0.623116,21.628335,14.391534
2025-06-10 16:25:16,64,0.633166,22.170388,13.816846
2025-06-10 16:25:19,65,0.643216,21.757463,14.400047
2025-06-10 16:25:21,66,0.653266,22.251268,13.804076
2025-06-10 16:25:23,67,0.663317,22.753588,13.189655
2025-06-10 16:25:25,68,0.673367,23.265840,12.622065
2025-06-10 16:25:27,69,0.683417,23.807892,12.070080
2025-06-10 16:25:28,70,0.693467,24.342848,11.519516
2025-06-10 16:25:31,71,0.703518,24.867870,10.956181
2025-06-10 16:25:33,72,0.713568,25.326199,10.402779
2025-06-10 16:25:35,73,0.723618,25.700810,9.826672
2025-06-10 16:25:37,74,0.733668,26.047042,9.240634
2025-06-10 16:25:39,75,0.743719,26.428748,8.709935
2025-06-10 16:25:40,76,0.753769,26.801939,8.184912
2025-06-10 16:25:43,77,0.763819,27.273043,7.688268
2025-06-10 16:25:45,78,0.773869,27.785294,7.241289
2025-06-10 16:25:47,79,0.783920,28.246462,6.777282
2025-06-10 16:25:49,80,0.793970,28.567152,6.299086
2025-06-10 16:25:51,81,0.804020,28.907709,5.833661
2025-06-10 16:25:52,82,0.814070,29.279481,5.403709
2025-06-10 16:25:55,83,0.824121,29.753421,5.023423
2025-06-10 16:25:57,84,0.834171,30.135127,4.609079
2025-06-10 16:25:59,85,0.844221,30.431694,4.228792
2025-06-10 16:26:01,86,0.854271,30.685689,3.832898
2025-06-10 16:26:03,87,0.864322,31.012056,3.471057
2025-06-10 16:26:04,88,0.874372,31.335585,3.153205
2025-06-10 16:26:07,89,0.884422,31.734318,2.828259
2025-06-10 16:26:09,90,0.894472,32.033724,2.524597
2025-06-10 16:26:11,91,0.904523,32.256503,2.223773
2025-06-10 16:26:13,92,0.914573,32.374279,1.939977
2025-06-10 16:26:14,93,0.924623,32.470769,1.667533
2025-06-10 16:26:16,94,0.934673,32.555909,1.436239
2025-06-10 16:26:19,95,0.944724,32.595639,1.202106
2025-06-10 16:26:21,96,0.954774,32.703480,1.010544
2025-06-10 16:26:23,97,0.964824,33.029846,0.838847
2025-06-10 16:26:25,98,0.974874,33.614466,0.668570
2025-06-10 16:26:26,99,0.984925,34.257264,0.529510
2025-06-10 16:26:28,100,0.994975,34.873101,0.410316
2025-06-10 16:26:31,101,1.005025,35.503130,0.309568
2025-06-10 16:26:33,102,1.015075,35.759967,0.323758
2025-06-10 16:26:35,103,1.025126,36.110454,0.234361
2025-06-10 16:26:37,104,1.035176,36.326139,0.157737
2025-06-10 16:26:39,105,1.045226,36.463782,0.089625
2025-06-10 16:26:41,106,1.055276,36.618450,0.055570
2025-06-10 16:26:43,107,1.065327,36.954749,0.037123
2025-06-10 16:26:45,108,1.075377,37.256988,0.041380
2025-06-10 16:26:47,109,1.085427,37.445716,0.068341
2025-06-10 16:26:49,110,1.095477,37.482612,0.123681
2025-06-10 16:26:51,111,1.105528,37.381862,0.190373
2025-06-10 16:26:53,112,1.115578,37.237125,0.288283
2025-06-10 16:26:55,113,1.125628,36.976035,0.403221
2025-06-10 16:26:57,114,1.135678,36.631223,0.522415
2025-06-10 16:26:59,115,1.145729,36.133159,0.679921
2025-06-10 16:27:01,116,1.155779,35.630841,0.824658
2025-06-10 16:27:03,117,1.165829,35.022098,1.006288
2025-06-10 16:27:05,118,1.175879,34.394903,1.193593
2025-06-10 16:27:08,119,1.185930,33.550616,1.378060
2025-06-10 16:27:09,120,1.195980,32.947548,1.617869
2025-06-10 16:27:11,121,1.206030,32.433876,1.842067
2025-06-10 16:27:13,122,1.216080,31.903175,2.096065
2025-06-10 16:27:15,123,1.226131,31.328487,2.340130
2025-06-10 16:27:17,124,1.236181,30.797790,2.608316
2025-06-10 16:27:20,125,1.246231,30.247225,2.886436
2025-06-10 16:27:22,126,1.256281,29.770448,3.191518
2025-06-10 16:27:23,127,1.266332,29.312118,3.506531
2025-06-10 16:27:25,128,1.276382,28.761553,3.838573
2025-06-10 16:27:27,129,1.286432,28.240787,4.155006
2025-06-10 16:27:29,130,1.296482,27.805159,4.502656
2025-06-10 16:27:32,131,1.306533,27.305678,4.860239
2025-06-10 16:27:34,132,1.316583,26.770722,5.183767
2025-06-10 16:27:36,133,1.326633,26.186101,5.551283
2025-06-10 16:27:37,134,1.336683,25.662499,5.932989
2025-06-10 16:27:39,135,1.346734,25.103422,6.293410
2025-06-10 16:27:41,136,1.356784,24.609615,6.689305
2025-06-10 16:27:44,137,1.366834,24.029252,7.088040
2025-06-10 16:27:46,138,1.376884,23.531189,7.499543
2025-06-10 16:27:48,139,1.386935,23.010421,7.903953
2025-06-10 16:27:49,140,1.396985,22.493914,8.306944
2025-06-10 16:27:51,141,1.407035,22.025650,8.725544
2025-06-10 16:27:53,142,1.417085,21.513399,9.172522
2025-06-10 16:27:56,143,1.427136,20.992631,9.598217
2025-06-10 16:27:58,144,1.437186,20.510179,10.046614
2025-06-10 16:28:00,145,1.447236,20.051850,10.523392
2025-06-10 16:28:02,146,1.457286,19.576490,10.993073
2025-06-10 16:28:04,147,1.467337,19.061399,11.495394
2025-06-10 16:28:05,148,1.477387,18.590299,11.983524
2025-06-10 16:28:08,149,1.487437,18.107843,12.458881
2025-06-10 16:28:10,150,1.497487,17.626810,12.934239
2025-06-10 16:28:12,151,1.507538,17.155709,13.403921
2025-06-10 16:28:14,152,1.517588,16.681768,13.890634
2025-06-10 16:28:15,153,1.527638,16.166679,14.358897
2025-06-10 16:28:17,154,1.537688,15.628886,14.804456
2025-06-10 16:28:20,155,1.547739,15.159203,15.306776
2025-06-10 16:28:22,156,1.557789,14.700870,15.848827
2025-06-10 16:28:24,157,1.567839,14.268081,16.396552
2025-06-10 16:28:26,158,1.577889,13.768601,16.891778
2025-06-10 16:28:28,159,1.587940,13.300336,17.398355
2025-06-10 16:28:29,160,1.597990,12.866129,17.943243
2025-06-10 16:28:32,161,1.608040,12.351038,18.366098
2025-06-10 16:28:34,162,1.618090,11.874261,18.763412
2025-06-10 16:28:36,163,1.628141,11.383293,19.182013
2025-06-10 16:28:38,164,1.638191,10.912193,19.650277
2025-06-10 16:28:40,165,1.648241,10.455282,20.127054
2025-06-10 16:28:41,166,1.658291,10.008302,20.593900
2025-06-10 16:28:44,167,1.668342,9.568418,21.066420
2025-06-10 16:28:46,168,1.678392,9.114345,21.507722
2025-06-10 16:28:48,169,1.688442,8.665946,21.967471
2025-06-10 16:28:50,170,1.698492,8.245927,22.376138
2025-06-10 16:28:52,171,1.708543,7.825909,22.823118
2025-06-10 16:28:53,172,1.718593,7.442784,23.258746
2025-06-10 16:28:56,173,1.728643,7.058241,23.708561
2025-06-10 16:28:58,174,1.738693,6.694981,24.175406
2025-06-10 16:29:00,175,1.748744,6.303343,24.582652
2025-06-10 16:29:02,176,1.758794,5.910285,24.947332
2025-06-10 16:29:04,177,1.768844,5.544188,25.279374
2025-06-10 16:29:05,178,1.778894,5.172415,25.554655
2025-06-10 16:29:08,179,1.788945,4.794967,25.821424
2025-06-10 16:29:10,180,1.798995,4.458667,26.103800
2025-06-10 16:29:12,181,1.809045,4.119532,26.472735
2025-06-10 16:29:14,182,1.819095,3.808775,26.830319
2025-06-10 16:29:16,183,1.829146,3.512207,27.141077
2025-06-10 16:29:17,184,1.839196,3.226992,27.433385
2025-06-10 16:29:20,185,1.849246,2.937521,27.685965
2025-06-10 16:29:22,186,1.859296,2.690618,27.971180
2025-06-10 16:29:24,187,1.869347,2.435202,28.212407
2025-06-10 16:29:26,188,1.879397,2.179784,28.484850
2025-06-10 16:29:28,189,1.889447,1.971194,28.821150
2025-06-10 16:29:29,190,1.899497,1.739900,29.069472
2025-06-10 16:29:32,191,1.909548,1.535567,29.354685
2025-06-10 16:29:34,192,1.919598,1.349681,29.581724
2025-06-10 16:29:36,193,1.929648,1.168051,29.800245
2025-06-10 16:29:38,194,1.939698,0.992098,30.034380
2025-06-10 16:29:40,195,1.949749,0.844523,30.217429
2025-06-10 16:29:41,196,1.959799,0.702625,30.386285
2025-06-10 16:29:45,197,1.969849,0.579174,30.516832
2025-06-10 16:29:47,198,1.979899,0.461399,30.678595
2025-06-10 16:29:49,199,1.989950,0.374841,30.769410
2025-06-10 16:29:51,200,2.000000,0.289701,30.857387
